"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","110","0.0",1.1,"38.9","22.00",NA,NA,NA,"130","0.0",1.3,"36.5","26.00",NA,NA,NA,"100","0.0",1,"0.0","20.00",NA,NA,NA,"190","0.0",1.9,"28.6","38.00",NA,NA,NA,"105","0.0",1.05,"43.0","21.00",NA,NA,NA,"110","0.0",1.1,"41.6","22.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","190","0.0",1.9,NA,"38.00",2026-02-27
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","275","0.0",2.75,"21.8","55.00",NA,NA,NA,"240","0.0",2.4,"24.7","48.00",NA,NA,NA,"250","0.0",2.5,"0.0","50.00",NA,NA,NA,"325","0.0",3.25,"19.5","65.00",NA,NA,NA,"275","0.0",2.75,"23.5","55.00",NA,NA,NA,"225","0.0",2.25,"26.9","45.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","325","0.0",3.25,NA,"65.00",2026-02-27
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","640","0.0",6.4,"11.0","128.00",NA,NA,NA,"650","0.0",6.5,"11.2","130.00",NA,NA,NA,"600","0.0",6,"0.0","120.00",NA,NA,NA,"525","0.0",5.25,"13.3","105.00",NA,NA,NA,"700","0.0",7,"11.0","140.00",NA,NA,NA,"700","0.0",7,"10.9","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","700","0.0",7,NA,"140.00",2026-02-27
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1750","0.0",17.5,NA,"350.00",2026-02-27
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","1400","0.0",14,"5.4","280.00",NA,NA,NA,"1700","0.0",17,"4.7","340.00",NA,NA,NA,"1700","0.0",17,"0.0","340.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"1600","0.0",16,"5.2","320.00",NA,NA,NA,"1300","0.0",13,"6.2","260.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",2026-02-27
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","1800","0.0",18,"4.3","360.00",NA,NA,NA,"1800","0.0",18,"4.4","360.00",NA,NA,NA,"1800","0.0",18,"0.0","360.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"2000","0.0",20,"4.2","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","2000","0.0",20,NA,"400.00",2026-02-27
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/anfernee-simons-odds-4373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2250","0.0",22.5,"3.5","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2026-02-27
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","1200","0.0",12,"6.3","240.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"1800","0.0",18,"0.0","360.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"2500","0.0",25,"3.4","500.00",NA,NA,NA,"1800","0.0",18,"4.6","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","2500","0.0",25,NA,"500.00",2026-02-27
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337","1800","0.0",18,"4.3","360.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,"2000","0.0",20,"0.0","400.00",NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,"1500","0.0",15,"5.5","300.00",NA,NA,NA,"2800","0.0",28,"3.0","560.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","2800","0.0",28,NA,"560.00",2026-02-27
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454","4000","0.0",40,"2.0","800.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","4000","0.0",40,NA,"800.00",2026-02-27
